Date,Description,Withdrawals,Deposits,Balance,Account Type
2023-01-05,CANADA GST,0.0,233.5,,Chequing
2023-01-09,NETFLIX.COM,18.63,0.0,,Chequing
2023-01-13,Executive Cosmo PAY,0.0,1158.03,,Chequing
2023-01-13,CANADA CAI,0.0,186.25,,Chequing
2023-02-07,NETFLIX.COM,18.63,0.0,,Chequing
2023-02-10,Executive Cosmo PAY,0.0,984.78,,Chequing
2023-02-10,CANADA PRO,0.0,138.91,,Chequing
2023-03-02,CANADA RIT,0.0,4459.59,,Chequing
2023-03-07,NETFLIX.COM,18.63,0.0,,Chequing
2023-03-10,Executive Cosmo PAY,0.0,1196.51,,Chequing
2023-03-10,CANADA PRO,0.0,138.91,,Chequing
2023-03-24,Executive Cosmo PAY,0.0,1216.75,,Chequing
2023-04-06,Executive Cosmo PAY,0.0,869.88,,Chequing
2023-04-06,CANADA PRO,0.0,138.91,,Chequing
2023-04-10,NETFLIX.COM,18.63,0.0,,Chequing
2023-04-21,Executive Cosmo PAY,0.0,1359.4,,Chequing
2023-05-05,Executive Cosmo PAY,0.0,1324.53,,Chequing
2023-05-08,NETFLIX.COM,18.63,0.0,,Chequing
2023-05-19,Executive Cosmo PAY,0.0,1264.3,,Chequing
2023-06-02,Executive Cosmo PAY,0.0,1416.3,,Chequing
2023-06-07,NETFLIX.COM,18.63,0.0,,Chequing
2023-06-09,CANADA PRO,0.0,138.99,,Chequing
2023-06-16,Executive Cosmo PAY,0.0,1359.4,,Chequing
2023-07-07,NETFLIX.COM,18.63,0.0,,Chequing
2023-07-14,Executive Cosmo PAY,0.0,1526.32,,Chequing
2023-07-28,Executive Cosmo PAY,0.0,1351.47,,Chequing
2023-08-08,NETFLIX.COM,18.63,0.0,,Chequing
2023-08-11,Executive Cosmo PAY,0.0,1339.59,,Chequing
2023-08-25,Executive Cosmo PAY,0.0,1303.92,,Chequing
2023-09-07,NETFLIX.COM,18.63,0.0,,Chequing
2023-09-08,Executive Cosmo PAY,0.0,1359.4,,Chequing
2023-09-22,Executive Cosmo PAY,0.0,1567.22,,Chequing
2023-10-06,Executive Cosmo PAY,0.0,1372.45,,Chequing
2023-10-10,NETFLIX.COM,18.63,0.0,,Chequing
2023-10-20,Executive Cosmo PAY,0.0,1382.99,,Chequing
2023-11-15,Executive Cosmo PAY,0.0,1194.98,,Chequing
2023-11-30,Executive Cosmo PAY,0.0,1068.83,,Chequing
2023-12-15,Executive Cosmo PAY,0.0,1194.98,,Chequing
